k_heads_ablated,accuracy,last_head_removed
0,0.025316454470157623,
0,0.025316454470157623,
0,0.025316454470157623,
0,0.025316454470157623,
0,0.025316454470157623,
1,0.025316454470157623,"(26, 1)"
1,0.025316454470157623,"(0, 30)"
1,0.025316454470157623,"(1, 26)"
1,0.025316454470157623,"(7, 9)"
1,0.025316454470157623,"(30, 13)"
2,0.025316454470157623,"(25, 22)"
2,0.025316454470157623,"(19, 28)"
2,0.025316454470157623,"(19, 30)"
2,0.025316454470157623,"(31, 4)"
2,0.025316454470157623,"(4, 18)"
3,0.025316454470157623,"(21, 1)"
3,0.025316454470157623,"(29, 16)"
3,0.025316454470157623,"(23, 21)"
3,0.025316454470157623,"(26, 22)"
3,0.025316454470157623,"(25, 31)"
4,0.025316454470157623,"(18, 16)"
4,0.025316454470157623,"(6, 18)"
4,0.025316454470157623,"(21, 15)"
4,0.025316454470157623,"(7, 13)"
4,0.03375527262687683,"(7, 8)"
5,0.025316454470157623,"(1, 26)"
5,0.025316454470157623,"(15, 23)"
5,0.025316454470157623,"(2, 6)"
5,0.025316454470157623,"(22, 2)"
5,0.03375527262687683,"(30, 9)"
6,0.025316454470157623,"(31, 2)"
6,0.02109704539179802,"(3, 24)"
6,0.025316454470157623,"(17, 28)"
6,0.025316454470157623,"(16, 21)"
6,0.03375527262687683,"(24, 30)"
7,0.025316454470157623,"(0, 16)"
7,0.02109704539179802,"(14, 24)"
7,0.025316454470157623,"(20, 4)"
7,0.025316454470157623,"(21, 26)"
7,0.03375527262687683,"(13, 16)"
8,0.025316454470157623,"(29, 2)"
8,0.03375527262687683,"(7, 10)"
8,0.025316454470157623,"(27, 16)"
8,0.03375527262687683,"(0, 18)"
8,0.03375527262687683,"(31, 10)"
9,0.025316454470157623,"(5, 9)"
9,0.03375527262687683,"(29, 1)"
9,0.025316454470157623,"(24, 27)"
9,0.025316454470157623,"(21, 8)"
9,0.03375527262687683,"(10, 28)"
10,0.025316454470157623,"(15, 15)"
10,0.037974681705236435,"(25, 14)"
10,0.025316454470157623,"(2, 28)"
10,0.025316454470157623,"(17, 13)"
10,0.03375527262687683,"(14, 28)"
11,0.025316454470157623,"(9, 22)"
11,0.03375527262687683,"(21, 13)"
11,0.025316454470157623,"(18, 15)"
11,0.025316454470157623,"(29, 5)"
11,0.03375527262687683,"(22, 25)"
12,0.025316454470157623,"(31, 13)"
12,0.037974681705236435,"(24, 5)"
12,0.025316454470157623,"(26, 2)"
12,0.05063290894031525,"(10, 19)"
12,0.03375527262687683,"(22, 13)"
13,0.025316454470157623,"(24, 10)"
13,0.037974681705236435,"(17, 27)"
13,0.025316454470157623,"(29, 11)"
13,0.05063290894031525,"(27, 4)"
13,0.03375527262687683,"(4, 0)"
14,0.025316454470157623,"(23, 22)"
14,0.029535863548517227,"(12, 1)"
14,0.025316454470157623,"(20, 21)"
14,0.04219409078359604,"(7, 22)"
14,0.04219409078359604,"(23, 18)"
15,0.025316454470157623,"(16, 8)"
15,0.037974681705236435,"(28, 21)"
15,0.025316454470157623,"(22, 31)"
15,0.04219409078359604,"(29, 3)"
15,0.04219409078359604,"(26, 18)"
16,0.025316454470157623,"(18, 21)"
16,0.037974681705236435,"(25, 24)"
16,0.025316454470157623,"(12, 19)"
16,0.04641349986195564,"(14, 8)"
16,0.04219409078359604,"(23, 11)"
17,0.025316454470157623,"(4, 2)"
17,0.037974681705236435,"(28, 0)"
17,0.025316454470157623,"(6, 31)"
17,0.04219409078359604,"(6, 28)"
17,0.037974681705236435,"(22, 9)"
18,0.025316454470157623,"(29, 8)"
18,0.04219409078359604,"(14, 8)"
18,0.025316454470157623,"(31, 28)"
18,0.04641349986195564,"(24, 5)"
18,0.037974681705236435,"(21, 26)"
19,0.025316454470157623,"(26, 10)"
19,0.04219409078359604,"(17, 13)"
19,0.025316454470157623,"(13, 26)"
19,0.04641349986195564,"(15, 7)"
19,0.037974681705236435,"(1, 19)"
20,0.025316454470157623,"(19, 11)"
20,0.037974681705236435,"(6, 13)"
20,0.025316454470157623,"(5, 14)"
20,0.04641349986195564,"(3, 10)"
20,0.037974681705236435,"(16, 14)"
21,0.025316454470157623,"(0, 0)"
21,0.037974681705236435,"(29, 13)"
21,0.025316454470157623,"(11, 15)"
21,0.04219409078359604,"(3, 5)"
21,0.037974681705236435,"(7, 30)"
22,0.029535863548517227,"(10, 27)"
22,0.037974681705236435,"(20, 8)"
22,0.025316454470157623,"(11, 26)"
22,0.04219409078359604,"(27, 11)"
22,0.037974681705236435,"(26, 13)"
23,0.029535863548517227,"(20, 0)"
23,0.03375527262687683,"(6, 9)"
23,0.025316454470157623,"(7, 14)"
23,0.04219409078359604,"(20, 23)"
23,0.03375527262687683,"(2, 13)"
24,0.029535863548517227,"(25, 8)"
24,0.03375527262687683,"(6, 14)"
24,0.025316454470157623,"(23, 27)"
24,0.04219409078359604,"(31, 18)"
24,0.037974681705236435,"(1, 17)"
25,0.025316454470157623,"(11, 14)"
25,0.03375527262687683,"(24, 20)"
25,0.025316454470157623,"(16, 22)"
25,0.04219409078359604,"(1, 2)"
25,0.037974681705236435,"(0, 30)"
26,0.02109704539179802,"(9, 24)"
26,0.03375527262687683,"(20, 13)"
26,0.025316454470157623,"(24, 31)"
26,0.04219409078359604,"(30, 31)"
26,0.037974681705236435,"(26, 19)"
27,0.02109704539179802,"(17, 27)"
27,0.03375527262687683,"(8, 23)"
27,0.025316454470157623,"(15, 13)"
27,0.04219409078359604,"(21, 13)"
27,0.04219409078359604,"(6, 11)"
28,0.02109704539179802,"(13, 26)"
28,0.03375527262687683,"(22, 23)"
28,0.025316454470157623,"(21, 21)"
28,0.04219409078359604,"(25, 27)"
28,0.04641349986195564,"(25, 14)"
29,0.025316454470157623,"(16, 31)"
29,0.03375527262687683,"(12, 10)"
29,0.025316454470157623,"(3, 1)"
29,0.04219409078359604,"(25, 2)"
29,0.04641349986195564,"(2, 24)"
30,0.025316454470157623,"(9, 6)"
30,0.029535863548517227,"(18, 15)"
30,0.025316454470157623,"(20, 25)"
30,0.05063290894031525,"(5, 30)"
30,0.04641349986195564,"(0, 29)"
31,0.025316454470157623,"(18, 14)"
31,0.029535863548517227,"(0, 9)"
31,0.025316454470157623,"(12, 27)"
31,0.04641349986195564,"(17, 21)"
31,0.04641349986195564,"(1, 22)"
32,0.025316454470157623,"(17, 13)"
32,0.029535863548517227,"(0, 20)"
32,0.025316454470157623,"(23, 30)"
32,0.04641349986195564,"(23, 12)"
32,0.04641349986195564,"(24, 2)"
33,0.025316454470157623,"(17, 20)"
33,0.025316454470157623,"(8, 14)"
33,0.025316454470157623,"(22, 12)"
33,0.05485231801867485,"(10, 31)"
33,0.04641349986195564,"(28, 1)"
34,0.025316454470157623,"(21, 0)"
34,0.025316454470157623,"(4, 26)"
34,0.025316454470157623,"(28, 18)"
34,0.05485231801867485,"(10, 13)"
34,0.04641349986195564,"(16, 28)"
35,0.025316454470157623,"(25, 7)"
35,0.025316454470157623,"(29, 27)"
35,0.025316454470157623,"(1, 22)"
35,0.05485231801867485,"(14, 23)"
35,0.04641349986195564,"(3, 6)"
36,0.025316454470157623,"(1, 0)"
36,0.025316454470157623,"(20, 24)"
36,0.025316454470157623,"(17, 21)"
36,0.06751054525375366,"(11, 3)"
36,0.04219409078359604,"(20, 7)"
37,0.025316454470157623,"(27, 24)"
37,0.025316454470157623,"(14, 5)"
37,0.025316454470157623,"(6, 17)"
37,0.06751054525375366,"(14, 24)"
37,0.04219409078359604,"(10, 22)"
38,0.025316454470157623,"(31, 18)"
38,0.025316454470157623,"(31, 28)"
38,0.025316454470157623,"(25, 5)"
38,0.07172995805740356,"(20, 25)"
38,0.037974681705236435,"(21, 3)"
39,0.025316454470157623,"(28, 1)"
39,0.029535863548517227,"(11, 6)"
39,0.025316454470157623,"(14, 7)"
39,0.07172995805740356,"(22, 17)"
39,0.04219409078359604,"(2, 3)"
40,0.025316454470157623,"(2, 10)"
40,0.029535863548517227,"(28, 3)"
40,0.025316454470157623,"(13, 11)"
40,0.06329113245010376,"(9, 27)"
40,0.04219409078359604,"(27, 7)"
41,0.025316454470157623,"(23, 20)"
41,0.025316454470157623,"(19, 16)"
41,0.025316454470157623,"(26, 28)"
41,0.06329113245010376,"(0, 3)"
41,0.037974681705236435,"(19, 18)"
42,0.025316454470157623,"(31, 7)"
42,0.029535863548517227,"(10, 11)"
42,0.025316454470157623,"(15, 27)"
42,0.06329113245010376,"(31, 28)"
42,0.037974681705236435,"(19, 9)"
43,0.025316454470157623,"(3, 23)"
43,0.03375527262687683,"(10, 10)"
43,0.025316454470157623,"(25, 17)"
43,0.06329113245010376,"(17, 11)"
43,0.037974681705236435,"(7, 14)"
44,0.025316454470157623,"(10, 7)"
44,0.02109704539179802,"(9, 16)"
44,0.025316454470157623,"(22, 21)"
44,0.06329113245010376,"(3, 11)"
44,0.03375527262687683,"(30, 20)"
45,0.025316454470157623,"(24, 26)"
45,0.02109704539179802,"(3, 15)"
45,0.025316454470157623,"(11, 21)"
45,0.06329113245010376,"(21, 28)"
45,0.03375527262687683,"(8, 5)"
46,0.025316454470157623,"(24, 4)"
46,0.02109704539179802,"(16, 18)"
46,0.025316454470157623,"(1, 12)"
46,0.059071727097034454,"(4, 23)"
46,0.03375527262687683,"(18, 14)"
47,0.025316454470157623,"(24, 1)"
47,0.02109704539179802,"(23, 25)"
47,0.025316454470157623,"(18, 2)"
47,0.059071727097034454,"(16, 1)"
47,0.03375527262687683,"(15, 15)"
48,0.025316454470157623,"(9, 19)"
48,0.02109704539179802,"(12, 16)"
48,0.025316454470157623,"(1, 9)"
48,0.059071727097034454,"(3, 13)"
48,0.025316454470157623,"(2, 15)"
49,0.025316454470157623,"(6, 20)"
49,0.016877636313438416,"(6, 10)"
49,0.025316454470157623,"(24, 30)"
49,0.059071727097034454,"(13, 30)"
49,0.029535863548517227,"(2, 0)"
50,0.025316454470157623,"(15, 30)"
50,0.016877636313438416,"(20, 5)"
50,0.025316454470157623,"(9, 6)"
50,0.059071727097034454,"(23, 13)"
50,0.029535863548517227,"(27, 11)"
51,0.025316454470157623,"(19, 27)"
51,0.016877636313438416,"(12, 15)"
51,0.025316454470157623,"(10, 5)"
51,0.059071727097034454,"(8, 30)"
51,0.03375527262687683,"(14, 21)"
52,0.025316454470157623,"(20, 7)"
52,0.016877636313438416,"(20, 29)"
52,0.025316454470157623,"(3, 6)"
52,0.059071727097034454,"(2, 0)"
52,0.04219409078359604,"(31, 18)"
53,0.025316454470157623,"(19, 23)"
53,0.016877636313438416,"(18, 5)"
53,0.025316454470157623,"(1, 20)"
53,0.059071727097034454,"(28, 14)"
53,0.04219409078359604,"(21, 7)"
54,0.02109704539179802,"(8, 25)"
54,0.016877636313438416,"(24, 10)"
54,0.025316454470157623,"(17, 3)"
54,0.059071727097034454,"(26, 9)"
54,0.04219409078359604,"(14, 19)"
55,0.025316454470157623,"(1, 3)"
55,0.016877636313438416,"(30, 10)"
55,0.025316454470157623,"(22, 2)"
55,0.059071727097034454,"(30, 2)"
55,0.04219409078359604,"(19, 6)"
56,0.025316454470157623,"(21, 31)"
56,0.016877636313438416,"(14, 1)"
56,0.025316454470157623,"(16, 1)"
56,0.059071727097034454,"(21, 12)"
56,0.04219409078359604,"(9, 22)"
57,0.025316454470157623,"(7, 17)"
57,0.016877636313438416,"(20, 3)"
57,0.025316454470157623,"(16, 9)"
57,0.059071727097034454,"(0, 5)"
57,0.04219409078359604,"(17, 2)"
58,0.025316454470157623,"(2, 21)"
58,0.016877636313438416,"(29, 6)"
58,0.025316454470157623,"(14, 28)"
58,0.059071727097034454,"(29, 21)"
58,0.04219409078359604,"(23, 7)"
59,0.02109704539179802,"(6, 1)"
59,0.016877636313438416,"(14, 13)"
59,0.025316454470157623,"(4, 11)"
59,0.059071727097034454,"(29, 29)"
59,0.04219409078359604,"(13, 18)"
60,0.02109704539179802,"(27, 10)"
60,0.02109704539179802,"(22, 9)"
60,0.025316454470157623,"(4, 5)"
60,0.059071727097034454,"(3, 20)"
60,0.04219409078359604,"(8, 27)"
61,0.02109704539179802,"(29, 26)"
61,0.02109704539179802,"(12, 2)"
61,0.029535863548517227,"(25, 3)"
61,0.06329113245010376,"(21, 21)"
61,0.04219409078359604,"(17, 11)"
62,0.02109704539179802,"(12, 29)"
62,0.02109704539179802,"(14, 22)"
62,0.029535863548517227,"(23, 0)"
62,0.06329113245010376,"(19, 29)"
62,0.05063290894031525,"(14, 10)"
63,0.02109704539179802,"(17, 25)"
63,0.02109704539179802,"(29, 11)"
63,0.029535863548517227,"(28, 3)"
63,0.06751054525375366,"(1, 27)"
63,0.04641349986195564,"(1, 7)"
64,0.02109704539179802,"(27, 12)"
64,0.02109704539179802,"(31, 0)"
64,0.025316454470157623,"(1, 25)"
64,0.06751054525375366,"(20, 5)"
64,0.04641349986195564,"(24, 21)"
65,0.02109704539179802,"(28, 20)"
65,0.016877636313438416,"(15, 26)"
65,0.025316454470157623,"(14, 10)"
65,0.06751054525375366,"(11, 23)"
65,0.05063290894031525,"(8, 8)"
66,0.02109704539179802,"(28, 13)"
66,0.016877636313438416,"(28, 17)"
66,0.025316454470157623,"(21, 17)"
66,0.06751054525375366,"(20, 27)"
66,0.05063290894031525,"(29, 10)"
67,0.02109704539179802,"(4, 14)"
67,0.016877636313438416,"(9, 4)"
67,0.02109704539179802,"(11, 20)"
67,0.06751054525375366,"(22, 12)"
67,0.037974681705236435,"(1, 8)"
68,0.03375527262687683,"(7, 8)"
68,0.016877636313438416,"(3, 30)"
68,0.025316454470157623,"(2, 0)"
68,0.06751054525375366,"(25, 23)"
68,0.03375527262687683,"(6, 26)"
69,0.03375527262687683,"(12, 25)"
69,0.016877636313438416,"(2, 13)"
69,0.02109704539179802,"(13, 9)"
69,0.07594936341047287,"(1, 16)"
69,0.03375527262687683,"(7, 19)"
70,0.03375527262687683,"(13, 12)"
70,0.016877636313438416,"(0, 2)"
70,0.025316454470157623,"(5, 24)"
70,0.07594936341047287,"(21, 30)"
70,0.03375527262687683,"(16, 13)"
71,0.03375527262687683,"(29, 11)"
71,0.016877636313438416,"(17, 30)"
71,0.025316454470157623,"(9, 26)"
71,0.07594936341047287,"(15, 5)"
71,0.03375527262687683,"(18, 8)"
72,0.03375527262687683,"(2, 4)"
72,0.016877636313438416,"(24, 4)"
72,0.02109704539179802,"(7, 22)"
72,0.07172995805740356,"(10, 15)"
72,0.029535863548517227,"(10, 14)"
73,0.03375527262687683,"(12, 10)"
73,0.02109704539179802,"(21, 8)"
73,0.02109704539179802,"(6, 28)"
73,0.07172995805740356,"(19, 19)"
73,0.029535863548517227,"(22, 1)"
74,0.03375527262687683,"(31, 29)"
74,0.02109704539179802,"(22, 7)"
74,0.02109704539179802,"(15, 23)"
74,0.07172995805740356,"(22, 10)"
74,0.029535863548517227,"(23, 21)"
75,0.03375527262687683,"(30, 13)"
75,0.02109704539179802,"(17, 28)"
75,0.02109704539179802,"(3, 22)"
75,0.07594936341047287,"(16, 20)"
75,0.029535863548517227,"(28, 10)"
